file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-26_RNAi-33646.3954-1_group2_24,24,166.501,2021-03-26,group2,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-26_RNAi-33646.3954-1_group2_26,26,131.188,2021-03-26,group2,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-26_RNAi-50656.25750-1_group1_20,20,65.385,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_21,21,89.086,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_22,22,82.159,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_23,23,59.29,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_24,24,68.077,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_26,26,58.1,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_27,27,24.5,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_28,28,58.1,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_29,29,66.59,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-50656.25750-1_group1_30,30,38.123,2021-03-26,group1,1,50656,25750,50656_25750,attP2,FBgn0038851
2021-03-26_RNAi-51511.25750-1_group1_20,20,191.322,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_21,21,149.279,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_22,22,143.338,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_23,23,178.206,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_24,24,124.459,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_26,26,156.548,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_27,27,187.027,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_28,28,152.27,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_29,29,163.081,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.25750-1_group1_30,30,135.151,2021-03-26,group1,1,51511,25750,51511_25750,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_20,20,168.247,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_21,21,190.282,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_22,22,183.357,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_23,23,220.165,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_24,24,148.15,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_26,26,166.224,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_27,27,94.344,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_28,28,138.219,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_29,29,153.458,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-26_RNAi-51511.3954-1_group1_30,30,136.222,2021-03-26,group1,1,51511,3954,51511_3954,attP2,Dhc93AB
2021-03-30_RNAi-36304-1_group1_17,17,88.231,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_18,18,148.119,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_19,19,41.591,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_20,20,104.312,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_21,21,119.335,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_29,29,55.061,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_30,30,182.219,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_31,31,98.311,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_32,32,89.326,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-36304-1_group1_33,33,120.366,2021-03-30,group1,1,36304,NA,36304_NA,"NA","NA"
2021-03-30_RNAi-38523.51941-1_group1_17,17,61.035,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_18,18,62.51,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_19,19,154.229,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_20,20,162.011,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_21,21,64.113,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_29,29,159.41,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_30,30,128.191,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_31,31,192.382,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_32,32,208.079,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-38523.51941-1_group1_33,33,224.496,2021-03-30,group1,1,38523,51941,38523_51941,attP40,AnxB9
2021-03-30_RNAi-44425.51941-1_group1_17,17,73.543,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_18,18,121.58,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_19,19,168.831,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_20,20,134.395,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_21,21,56.269,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_29,29,149.386,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_30,30,75.25,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_31,31,91.213,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_32,32,143.154,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-44425.51941-1_group1_33,33,186.199,2021-03-30,group1,1,44425,51941,44425_51941,attP40,Cortactin
2021-03-30_RNAi-51411.51941-1_group1_17,17,121.368,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_18,18,213.494,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_19,19,206.158,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_20,20,41.004,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_21,21,179.148,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_29,29,97.565,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_30,30,197,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_31,31,115.557,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_32,32,159.318,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-51411.51941-1_group1_33,33,185.267,2021-03-30,group1,1,51411,51941,51411_51941,attP40,Atpalpha
2021-03-30_RNAi-55183.51941-1_group1_17,17,67.497,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_18,18,115.232,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_19,19,74.176,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_20,20,242.392,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_21,21,44.151,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_29,29,91.563,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_30,30,149.209,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_31,31,140.012,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_32,32,242.392,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55183.51941-1_group1_33,33,108.251,2021-03-30,group1,1,55183,51941,55183_51941,attP40,r-1
2021-03-30_RNAi-55316.51941-1_group1_17,17,28.267,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
