"feature","id","fc","pval","qval","tname"
"gene","MSTRG.13946",1.2730790764806,0.0478416499916613,0.485132160101778,"FBtr0082391"
"gene","MSTRG.19528",0.695317028148171,0.0480587686686427,0.485953377890965,"FBtr0073819"
"gene","MSTRG.16264",2.38069367402797,0.0480887428671166,0.485953377890965,"MSTRG.16264.1"
"gene","MSTRG.7126",1.1982500229055,0.0481012286335784,0.485953377890965,"FBtr0086280"
"gene","MSTRG.6671",17.7693145457113,0.0482632619895748,0.486953564993382,"FBtr0344699"
"gene","MSTRG.20080",0.771701652952438,0.0483195378714492,0.486953564993382,"FBtr0074406"
"gene","MSTRG.15507",1.60482985767595,0.048485677090312,0.487447102282539,"FBtr0084083"
"gene","MSTRG.17952",0.494806370589189,0.0485764741687572,0.487447102282539,"MSTRG.17952.1"
"gene","MSTRG.7100",1.3050097527929,0.0486210865396169,0.487447102282539,"FBtr0342673"
"gene","MSTRG.3729",0.693372858972956,0.0486243804436388,0.487447102282539,"FBtr0081429"
"gene","MSTRG.2011",0.701538428409367,0.04866708175429,0.487447102282539,"FBtr0079874"
"gene","MSTRG.13597",0.88233184815718,0.0490493593817529,0.48764597851411,"FBtr0082114"
"gene","MSTRG.11831",0.67572470344036,0.0490599020211421,0.48764597851411,"FBtr0333967"
"gene","MSTRG.18132",0.853316640126827,0.0490932748082574,0.48764597851411,"FBtr0300997"
"gene","MSTRG.3756",1.15093674446363,0.0491601593394901,0.48764597851411,"FBtr0329988"
"gene","MSTRG.16973",0.783391425795141,0.0492107887149191,0.48764597851411,"FBtr0334706"
"gene","MSTRG.2349",0.792891215141087,0.0492363973401704,0.48764597851411,"FBtr0080259"
"gene","MSTRG.9544",0.697351539130351,0.0493117113260617,0.48764597851411,"FBtr0076728"
"gene","MSTRG.13058",0.625688780130635,0.0493778365105275,0.48764597851411,"FBtr0081711"
"gene","MSTRG.14347",1.39806758023678,0.0493867306462967,0.48764597851411,"FBtr0082865"
"gene","MSTRG.17603",0.741220706436651,0.0494032955416541,0.48764597851411,"MSTRG.17603.1"
"gene","MSTRG.11044",0.781563066842232,0.0494594207456123,0.48764597851411,"FBtr0075324"
"gene","MSTRG.9569",0.865911179180393,0.0494608916316084,0.48764597851411,"FBtr0076715"
"gene","MSTRG.406",0.760641423478135,0.049607013307571,0.48764597851411,"FBtr0331204"
"gene","MSTRG.1301",1.82828671240553,0.0496474570190997,0.48764597851411,"FBtr0330221"
"gene","MSTRG.14336",0.766962279883419,0.0496581057711895,0.48764597851411,"FBtr0344766"
"gene","MSTRG.3471",0.40862342097418,0.0497058282274667,0.48764597851411,"FBtr0081242"
"gene","MSTRG.12309",0.75111396465452,0.0497201795235696,0.48764597851411,"MSTRG.12309.1"
"gene","MSTRG.531",1.35397802065458,0.0497622320350672,0.48764597851411,"FBtr0077949"
"gene","MSTRG.19445",1.73215329618063,0.0498953307664853,0.488364010847506,"FBtr0340488"
"gene","MSTRG.10421",0.841034416767949,0.0500254104108815,0.489050808603623,"FBtr0075944"
"gene","MSTRG.10586",0.736974193697014,0.0502368951068277,0.48988940960758,"MSTRG.10586.3"
"gene","MSTRG.14303",1.36857275678682,0.0502648800536822,0.48988940960758,"FBtr0082801"
"gene","MSTRG.8992",1.33705702382141,0.0502973144498287,0.48988940960758,"FBtr0309972"
"gene","MSTRG.18424",1.52111418127073,0.0503512452114124,0.48988940960758,"FBtr0070987"
"gene","MSTRG.2369",4.82636162959801,0.0505126376000853,0.490363928038704,"FBtr0344127"
"gene","MSTRG.17587",0.570365597485265,0.0505601912242153,0.490363928038704,"FBtr0070186"
"gene","MSTRG.20212",0.775115470143524,0.0505802312150666,0.490363928038704,"MSTRG.20212.1"
"gene","MSTRG.17192",0.778601904690201,0.0507253396502089,0.49118736365914,"FBtr0085804"
"gene","MSTRG.8302",0.518858234606851,0.0510222420122675,0.492728737895736,"FBtr0072660"
