"feature","id","pval","qval","tname"
"gene","MSTRG.18641",0.0149334983606567,0.0321971028998395,"FBtr0071089"
"gene","MSTRG.17289",0.0149549535335891,0.0322347189271304,"MSTRG.17289.1"
"gene","MSTRG.7769",0.0149632709982321,0.0322440046537467,"FBtr0072236"
"gene","MSTRG.835",0.0149831470231032,0.0322747320257015,"FBtr0077641"
"gene","MSTRG.9529",0.0149855569987527,0.0322747320257015,"FBtr0076684"
"gene","MSTRG.7010",0.0150007823746283,0.0322988733217566,"FBtr0086540"
"gene","MSTRG.3523",0.0150220070218401,0.032335915543265,"FBtr0329845"
"gene","MSTRG.18152",0.0150329484157368,0.0323508084451044,"FBtr0340477"
"gene","MSTRG.18728",0.0150600281184159,0.0324004136244785,"FBtr0307286"
"gene","MSTRG.963",0.0151000100671765,0.0324777429687707,"FBtr0302391"
"gene","MSTRG.13432",0.0151807775333895,0.0326427307282135,"FBtr0081878"
"gene","MSTRG.1777",0.0151930251440862,0.0326603336564397,"FBtr0079650"
"gene","MSTRG.12401",0.0152128516845134,0.0326942151915704,"MSTRG.12401.1"
"gene","MSTRG.8519",0.015245474469165,0.0327527753348356,"MSTRG.8519.4"
"gene","MSTRG.11501",0.0152482455674738,0.0327527753348356,"FBtr0074893"
"gene","MSTRG.12290",0.0152773072107353,0.032802309484384,"MSTRG.12290.1"
"gene","MSTRG.7307",0.0152794642288613,0.032802309484384,"FBtr0071610"
"gene","MSTRG.657",0.0152895400128559,0.0328151803531857,"FBtr0113012"
"gene","MSTRG.18079",0.0152983202629343,0.0328252645556344,"FBtr0070698"
"gene","MSTRG.14619",0.0153124481653137,0.0328468146560291,"FBtr0083164"
"gene","MSTRG.9037",0.015332386835933,0.0328808146492194,"FBtr0077145"
"gene","MSTRG.19534",0.015339985458718,0.0328883399250893,"MSTRG.19534.1"
"gene","MSTRG.2139",0.0153668139463912,0.0329370782934109,"FBtr0304117"
"gene","MSTRG.552",0.0154014504914988,0.0330025219431476,"FBtr0077956"
"gene","MSTRG.7148",0.015408829405047,0.0330095381127831,"FBtr0112774"
"gene","MSTRG.19543",0.0154504771021904,0.033085298713316,"FBtr0073827"
"gene","MSTRG.2020",0.0154524225276318,0.033085298713316,"FBtr0112376"
"gene","MSTRG.17460",0.0154747871470139,0.0331243647155405,"FBtr0070093"
"gene","MSTRG.4592",0.0154857535903985,0.0331390181942482,"MSTRG.4592.1"
"gene","MSTRG.9739",0.0154984326810925,0.0331573279120367,"FBtr0301699"
"gene","MSTRG.13243",0.0155408140792161,0.0332391560704937,"FBtr0289953"
"gene","MSTRG.13467",0.0155770498967337,0.0333077998589557,"FBtr0332500"
"gene","MSTRG.9369",0.0156305130655428,0.0334132339375584,"FBtr0302044"
"gene","MSTRG.18489",0.0156695685332808,0.0334878209260283,"FBtr0343324"
"gene","MSTRG.16881",0.0156924552544968,0.0335278228365205,"FBtr0085455"
"gene","MSTRG.10249",0.0157573037791553,0.0336489769249665,"FBtr0343554"
"gene","MSTRG.11662",0.0157575288609082,0.0336489769249665,"FBtr0078279"
"gene","MSTRG.11944",0.0157722966532552,0.0336715714588474,"FBtr0078504"
"gene","MSTRG.15187",0.0158003154620006,0.0337164827562145,"FBtr0083760"
"gene","MSTRG.594",0.0158017189142219,0.0337164827562145,"FBtr0343842"
"gene","MSTRG.5648",0.0158421446744914,0.0337937738653209,"FBtr0087989"
"gene","MSTRG.14695",0.0159046334675728,0.0339180754033997,"MSTRG.14695.3"
"gene","MSTRG.3730",0.0159334099843425,0.0339704356028849,"FBtr0307163"
"gene","MSTRG.10517",0.0159797758477724,0.0340602590426149,"FBtr0331532"
"gene","MSTRG.10719",0.0159843707375074,0.0340610252970414,"FBtr0075632"
"gene","MSTRG.14034",0.0160181020363572,0.0341238613447377,"FBtr0082506"
"gene","MSTRG.13608",0.0160326246262608,0.0341457540371793,"FBtr0082105"
"gene","MSTRG.19783",0.016045722626397,0.0341646018960776,"FBtr0308830"
"gene","MSTRG.9695",0.0160620702113787,0.0341903569719184,"MSTRG.9695.1"
"gene","MSTRG.19864",0.016113561008394,0.0342908858506231,"MSTRG.19864.1"
"gene","MSTRG.18693",0.0161473700277632,0.0343537433236169,"FBtr0071112"
"gene","MSTRG.1738",0.0161887258285642,0.0344326191783427,"FBtr0089935"
"gene","MSTRG.10191",0.0162123128178032,0.0344736699314578,"FBtr0076133"
"gene","MSTRG.16049",0.0162630107175281,0.0345723320619511,"MSTRG.16049.1"
"gene","MSTRG.11350",0.0162758583703431,0.0345905002680494,"FBtr0333709"
"gene","MSTRG.13611",0.0162979557638052,0.0346283118236517,"MSTRG.13611.1"
"gene","MSTRG.5831",0.0163175831332245,0.0346608567240865,"FBtr0087740"
"gene","MSTRG.2023",0.0163258386111758,0.0346649050560523,"MSTRG.2023.1"
"gene","MSTRG.1701",0.0163281099667155,0.0346649050560523,"MSTRG.1701.1"
"gene","MSTRG.6996",0.0163619341764385,0.0347275467529476,"MSTRG.6996.8"
"gene","MSTRG.1780",0.0164090717483149,0.0348184050131789,"FBtr0079722"
"gene","MSTRG.20534",0.0164211303019333,0.0348242082195634,"FBtr0074800"
"gene","MSTRG.5710",0.0164233729861556,0.0348242082195634,"FBtr0087936"
"gene","MSTRG.784",0.0164290525527376,0.0348242082195634,"FBtr0077715"
"gene","MSTRG.5133",0.016429127827036,0.0348242082195634,"MSTRG.5133.1"
"gene","MSTRG.8893",0.0164417354702089,0.0348417487882529,"FBtr0300775"
"gene","MSTRG.7570",0.0164839786660846,0.034919223994994,"FBtr0071929"
"gene","MSTRG.15944",0.0164869800433962,0.034919223994994,"MSTRG.15944.1"
"gene","MSTRG.15755",0.0165028636594851,0.0349436623353288,"FBtr0084340"
"gene","MSTRG.6450",0.0165125871647995,0.0349550476386728,"FBtr0087105"
"gene","MSTRG.1493",0.0165424113886752,0.03500865233441,"FBtr0079339"
"gene","MSTRG.7719",0.0165470497836951,0.03500865233441,"FBtr0072113"
"gene","MSTRG.8735",0.0165509694324082,0.03500865233441,"FBtr0073142"
"gene","MSTRG.6304",0.0165957578143622,0.0350941583863005,"MSTRG.6304.1"
"gene","MSTRG.3573",0.0166110778030721,0.0351173206341499,"FBtr0081333"
"gene","MSTRG.8551",0.0166328008707082,0.0351540038376439,"MSTRG.8551.5"
"gene","MSTRG.1953",0.0166815739157679,0.0352478238125605,"FBtr0302199"
"gene","MSTRG.15408",0.0167023827037507,0.0352825221180885,"FBtr0083969"
"gene","MSTRG.8863",0.0167502595557034,0.035367950033688,"FBtr0073228"
"gene","MSTRG.14990",0.0167516192089427,0.035367950033688,"MSTRG.14990.1"
"gene","MSTRG.19140",0.0167680560013461,0.0353933612500854,"MSTRG.19140.1"
"gene","MSTRG.9742",0.0167765562937734,0.0354020114706181,"FBtr0112761"
"gene","MSTRG.9822",0.0167831848811979,0.0354067085033036,"FBtr0076387"
"gene","MSTRG.12698",0.0168234698903904,0.0354823878464515,"MSTRG.12698.1"
"gene","MSTRG.6653",0.016837486536046,0.0355026394134457,"FBtr0086905"
"gene","MSTRG.2953",0.0169285748462914,0.0356853470285388,"FBtr0080761"
"gene","MSTRG.6573",0.0169617948120556,0.035746004685155,"FBtr0091605"
"gene","MSTRG.10404",0.0169835344364566,0.0357824427398439,"FBtr0075952"
"gene","MSTRG.12937",0.0169992407674107,0.0358061535493757,"FBtr0078751"
"gene","MSTRG.4565",0.0170571603071152,0.0359187439617232,"MSTRG.4565.1"
"gene","MSTRG.9157",0.017111918008171,0.0360246190109192,"FBtr0332059"
"gene","MSTRG.13659",0.0171306620646429,0.0360546412781622,"FBtr0334681"
"gene","MSTRG.18210",0.0171368394161571,0.0360582058044833,"FBtr0070783"
"gene","MSTRG.9502",0.0171768431298629,0.0361329250458691,"FBtr0076752"
"gene","MSTRG.20655",0.0171986572227649,0.0361693518267457,"FBtr0345015"
"gene","MSTRG.19761",0.0172103030299147,0.0361816655544548,"FBtr0310308"
"gene","MSTRG.9623",0.0172135106206596,0.0361816655544548,"FBtr0076650"
"gene","MSTRG.16469",0.0172228644085006,0.0361918671474163,"FBtr0085062"
"gene","MSTRG.2010",0.0172416780921165,0.0362219370994778,"MSTRG.2010.12"
"gene","MSTRG.4958",0.0172497670523445,0.0362294663449868,"FBtr0088742"
"gene","MSTRG.9337",0.0172560404604799,0.036233179473415,"FBtr0076897"
"gene","MSTRG.20770",0.0172630364710004,0.0362384075436661,"FBtr0077223"
"gene","MSTRG.14518",0.0172734784643778,0.0362508647731018,"FBtr0083038"
"gene","MSTRG.11660",0.0172982157884908,0.0362933084714435,"FBtr0345811"
"gene","MSTRG.10464",0.0173140291557494,0.0363170115989924,"FBtr0075887"
"gene","MSTRG.6469",0.0173222083250626,0.0363183853556655,"FBtr0300312"
"gene","MSTRG.3487",0.0173237162676365,0.0363183853556655,"FBtr0081251"
"gene","MSTRG.5627",0.0173414079890993,0.0363460002732178,"FBtr0087983"
"gene","MSTRG.16548",0.0173709245284634,0.0363983780765771,"FBtr0334732"
"gene","MSTRG.922",0.0174014929365822,0.0364529320645986,"FBtr0077517"
"gene","MSTRG.19354",0.017446748991206,0.0365382175487705,"FBtr0073653"
"gene","MSTRG.13201",0.0174627528037131,0.0365622124570323,"FBtr0339734"
