gene_id,AH_1,AH_3,AL_1,AL_2,AL_3,AL_4,AL_5
MSTRG.2718,307,435,110,179,334,124,130
MSTRG.7949,2,0,0,0,5,2,0
MSTRG.7948,779,592,740,775,1586,611,673
MSTRG.2711,15114,592,1023,1070,2429,856,1037
MSTRG.2710,590,409,649,644,1654,557,672
MSTRG.7945,167,202,142,87,377,112,109
MSTRG.2712,14087,257,398,527,1199,332,564
MSTRG.7943,3,8,0,3,5,2,3
MSTRG.2714,210,350,167,139,340,147,142
MSTRG.2717,157,265,116,84,311,156,61
MSTRG.7940,0,1,1,1,2,1,1
MSTRG.19189,1493,1191,771,885,2170,961,906
MSTRG.19188,342,570,313,172,372,179,153
MSTRG.19183,0,0,3,0,5,2,0
MSTRG.19182,2,0,5,0,0,7,4
MSTRG.19181,5,9,5,6,5,5,3
MSTRG.19180,960,1126,712,351,1166,645,363
MSTRG.19187,2048,1876,1621,1156,2822,1060,1008
MSTRG.19186,295,247,1271,1217,4985,1266,1433
MSTRG.19185,3453,3034,4852,4232,8526,2322,3183
